-50,-6,30
-49,-32,-28
-49,-30,-21
-49,-30,17
-49,21,44
-48,-41,-2
-48,-25,21
-48,-25,40
-48,3,24
-48,12,47
-47,6,11
-47,27,29
-46,-21,16
-46,4,39
-45,-42,34
-45,-39,-9
-45,-10,24
-44,-43,-13
-44,-43,17
-44,38,43
-43,-12,28
-41,-39,13
-41,-27,43
-41,47,50
-40,-11,25
-39,-24,44
-39,-9,12
-39,-9,17
-38,17,49
-37,-10,43
-37,17,35
-35,-17,-9
-35,25,46
-35,31,42
-34,-5,21
-33,-14,-2
-33,-4,43
-32,-27,-26
-32,-22,43
-32,-14,33
-32,6,23
-32,18,33
-31,-22,-7
-31,-21,47
-31,3,38
-30,-25,21
-30,16,26
-29,-28,-8
-29,-2,15
-29,6,20
-28,9,19
-27,-25,4
-27,-20,1
-26,4,27
-25,-10,3
-24,-17,50
-24,12,42
-24,18,36
-23,-17,41
-23,31,36
-22,-20,15
-22,18,38
-22,29,45
-20,6,38
-19,-16,13
-19,42,43
-17,-10,27
-17,28,44
-14,-8,33
-14,-5,34
-14,5,38
-14,8,27
-14,19,24
-13,-7,46
-12,25,41
-12,33,34
-10,28,40
-9,-1,13
-9,11,23
-8,33,50
-7,21,34
-6,38,41
-5,11,18
-5,12,41
-1,32,40
3,15,27
5,28,39
6,22,23
8,12,25
9,30,49
10,21,41
12,29,38
15,20,45
15,26,27
15,29,47
16,41,49
22,35,41
28,36,41
31,35,48
35,37,41
